series_id,entity_id,observed_at,captured_at,metric,value,unit,source_id,raw_ref,parser_version
fda.additives.petitions,CAP 0C0288,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 0C0288,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 0C0288,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,held in abeyance,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 0C0288,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,"Use of C.I. Reactive Blue No. 4 [2-anthracenesulfonic acid, 1-amino-4-(3-((4,6-dichloro-s-triazin-2-yl)amino)-4-sulfoanilino)-9,10-dihydro-9,10-dioxo, disodium salt] (CAS Reg. No. 4499018) reacted with polyvinyl alcohol as a color additive in vascular embolization devices.",,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 1C0321,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 1C0321,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 1C0321,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,held in abeyance,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 1C0321,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,To amend 21 CFR 73.200 to expand the permitted uses of synthetic iron oxide as a color additive to include use in edible decorative paint.,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 3C0325,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 3C0325,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 3C0325,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,under review,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 3C0325,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,Request to Revoke Color Additive Listing for Use of Titanium Dioxide in Food,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0327,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0327,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0327,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,under review,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0327,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,"To amend the color additive regulations to remove the solvents ethylene dichloride, methylene chloride, and trichloroethylene",,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0330,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0330,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0330,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,held in abeyance,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0330,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,"To amend the color additive regulations in 21 CFR 73.125, Listing of Color Additives Exempt from Certification: Sodium copper chlorophyllin to provide for the safe use of sodium copper chlorophyllin in dietary supplement capsules in an amount ranging from 0.08 to 0.4 percent of the weight of the capsule, and to add fescue grass ( Festuca arundinacea ) as a permitted source of the color additive.",,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0332,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0332,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0332,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,held in abeyance,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 4C0332,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,subject,"To amend the color additive regulations in 21 CFR part 73, Listing of Color Additives Exempt From Certification, to provide for the safe use of prickly pear yellow for the coloring of foods generally in amounts consistent with current good manufacturing practice.",,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 5C0336,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,in_queue,1,count,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 5C0336,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,petition_type,CAP,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
fda.additives.petitions,CAP 5C0336,2026-08-19T00:00:00Z,2026-09-06T12:57:15Z,status,under review,,fda.additives.petitions,raw/fda.additives.petitions/2026/09/20260906T125715Z-093f9bcdbb23.html,1
