fcn_no,effective_date,effective_year,substance,manufacturer
2525,"Jul 29, 2026",2026,Octyltriethoxysilane-modified titanium dioxide,Billions Europe Ltd.
2519,"Jul 11, 2026",2026,3-Amino-3-methyl-2-butanol (AMB; CAS Reg. No. 13325-14-9),Advancion Corporation
2511,"Jun 12, 2026",2026,2-methyl-4-isothiazolin-3-one (CAS Reg. No. 2682-20-4).,"Cotek Specialties (Taicang) Co., Ltd."
2510,"Jun 2, 2026",2026,Tricyclodecanedimethanol (CAS Reg. No. 26160-83-8 and 26896-48-0).,Setaş Kimya Sanayi A.Ş.
2507,"May 16, 2026",2026,"An aqueous mixture of peroxyacetic acid (PAA) (CAS Reg. No. 79-21-0), hydrogen peroxide (HP) (CAS Reg. No. 7722-84-1), acetic acid (AA) (CAS Reg. No. 64-19-7), 1-hydroxyethylidene-1,1-diphosphonic acid (HEDP) (CAS Reg. No. 2809-21-4), dipicolinic acid (DPA) (CAS Reg. No. 499-83-2), and optionally sulfuric acid (SA) (CAS Reg. No. 7664-93-9)","Evonik Active Oxygens, LLC"
2506,"Jul 7, 2026",2026,"1,3-Dibromo-5,5-dimethylhydantoin (CAS Reg. No. 77-48-5) optionally containing up to 0.5 weight percent 1,3-dibromo-5-ethyl-5-methylhydantoin (CAS Reg. No. 82925-96-0)","Enviro Tech Chemical Services, Inc."
2505,"Jul 8, 2026",2026,"α-1,3-Glucan (CAS Reg. No. 9051-95-0)",International Flavors & Fragrances
2504,"Apr 22, 2026",2026,Nanocrystalline cellulose (CAS Reg. No. 9004-34-6),CelluForce
2502,"Jul 4, 2026",2026,"Fatty acids, C18-unsaturated, dimers, hydrogenated, polymers with hexamethylenediamine (CAS Reg. No. 800392-64-7)","Cargill, Incorporated"
2498,"May 22, 2026",2026,Silver-zinc-calcium-sodium-borate-phosphate glass,Laboratorios Argenol SL
2496,"Jun 17, 2026",2026,"1,2-Benzisothiazolin-3-one (BIT) (CAS Reg. No. 2634-33-5).","Troy Corporation, an Arxada Company"
2495,"Mar 31, 2026",2026,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).","Jiangsu Jiyi New Material Co., Ltd."
2494,"Mar 31, 2026",2026,Polylactide (polylactic acid; PLA) optionally containing up to 16 weight percent D-lactic acid polymer units (CAS Reg. No. 9051-89-2).,"Zhejiang Honor Biomaterials Co., Ltd."
2491,"Mar 25, 2026",2026,"Poly(oxy-1,2-ethanediyl), α-sulfo-ω-hydroxy-, C12-14-alkyl ethers, sodium salts (CAS Reg. No. 68891-38-3).",KLK Kolb Specialties B.V. KLK Tensachem S.A.
2490,"May 26, 2026",2026,Cyclic neopentanetetrayl bis(octadecyl phosphite) (CAS Reg. No. 3806-34-6).,SI Group
2488,"Jun 11, 2026",2026,"Poly(1,4-butylene glycol-co-succinate), optionally reacted with glycerol (CAS Reg. No. 56-81-5) and/or hexamethylene diisocyanate (CAS Reg. No. 124-09-4).","Zhuhai Kingfa Biomaterial Co., Ltd."
2486,"Mar 17, 2026",2026,Ethylene-vinyl acetate-vinyl alcohol (EVOH) copolymers (CAS Reg. No. 26221-27-2).,"Sinopec Chongqing SVW Chemical Co., Ltd."
2485,"Mar 13, 2026",2026,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,1-dichloroethene, 2-methyl-2-propenenitrile, and 2-propenoic acid (CAS Reg. No. 98806-17-8).",Unitika Ltd. Asahi Kasei Corporation
2484,"Mar 13, 2026",2026,"Dodecanoic acid, ethenyl ester, polymer with chloroethene and ethenyl acetate (CAS Reg. No. 25155-88-8), and, optionally, less than 1% by weight of glycidyl methacrylate (CAS Reg. No. 106-91-2).",WACKER Chemie AG
2483,"Mar 8, 2026",2026,"1,2-Cyclohexanedicarboxylic acid, calcium salt (1:1), (1R, 2S)-rel- (CAS Reg. No. 491589-22-1).","Zhejiang Sinoview Materials & Technology Co., Ltd."
2482,"Feb 28, 2026",2026,"Copolymer of acrylamide, 2-methacryloxyethyltrimethylammonium chloride, itaconic acid, and N,N'-methylenebis(acrylamide) (CAS Reg. No. 214495-32-6).","Arakawa Chemical Industries, Inc. Nantong Arakawa Chemical Industries, Ltd. Arakawa Chemical (USA) Inc. Taiwan Arakawa Chemical Industries, Ltd. Arakawa Chemical Vietnam Co., Ltd."
2478,"Apr 8, 2026",2026,Pentaerythritol tetra(3-dodecylthiopropionate) (CAS Reg. No. 29598-76-3),Rianlon Corporation
2477,"Feb 13, 2026",2026,Ethylene propylene copolymer (CAS Reg. No. 9010-79-1).,Exxon Mobil Corporation
2476,"Feb 12, 2026",2026,"Aluminum magnesium carbonate hydroxide (quintinite), surface-treated with cis-1,2-cyclohexanedicarboxylic acid.",Kisuma Chemicals BV
2475,"Feb 7, 2026",2026,"A mixture of 1-decene, polymer with sulfur dioxide (CAS Reg. No. 33990-98-6); 1,3-propanediamine, N1-(9Z)-9-octadecen-1-yl-, polymer with 2-(chloromethyl)oxirane (CAS Reg. No. 1010121-89-7); and dodecylbenzenesulfonic acid (CAS Reg. No. 27176-87-0). REPLACES FCN 2001",Innospec Ltd.
2474,"Apr 9, 2026",2026,"1,2,4-Benzenetricarboxylic acid, mixed decyl and octyl triesters (CAS Reg. No. 90218-76-1)",Kao Specialties Americas LLC
2473,"May 7, 2026",2026,"Rice bran wax, oxidized (CAS Reg. No. 1883583-80-9) and its calcium salt (CAS Reg. No. 1850357-57-1)",Clariant Corporation
2468,"Feb 25, 2026",2026,"1,4-bis(2-ethylhexyl) benzenedicarboxylate (CAS Reg. No. 6422-86-2).",Valtris Specialty Chemicals
2466,"Mar 13, 2026",2026,Terpene resin (δ-3-carene) polymers and condensates with phenol (CAS Reg. No. 705265-37-8).,Les Derives Resiniques et Terpeniques
2465,"Jan 1, 2026",2026,Polyisoprene grafted polypropylene and/or poly(propylene-co-ethylene).,"GINPO PACK Co., Ltd."
