grn,substance,notifier,closure_date,outcome
1,Soy isoflavone extract,Archer Daniels Midland Company,11/03/1998,withdrawn
2,Solin oil (low linolenic acid flaxseed oil or low linolenic acid linseed oil),United Grain Growers Ltd.,05/27/1998,no questions
3,Sodium bisulfate,Jones Hamilton Co.,06/05/1998,no questions
4,Transglutaminase from Streptoverticillium mobaraense,Ajinomoto USA,06/22/1998,no questions
5,Tasteless smoke,Hawaii International Seafood Inc.,11/09/1998,withdrawn
6,Dioctyl sodium sulfosuccinate,"Cytec Industries, Inc.",12/28/1998,no questions
7,ARASCO (arachidonic acid-rich single-cell oil) and DHASCO (docosahexaenoic acid-rich single-cell oil) as sources of the fatty acids ARA (arachidonic acid) and DHA (docosahexaenoic acid),Wyeth Nutritionals International,03/04/1999,rejected
8,Pectin esterase derived from Aspergillus oryzae carrying a gene encoding pectin esterase from Aspergillus aculeatus,Novo Nordisk,03/02/1999,no questions
9,Polyglycerol polyricinoleic acid,Quest International,03/02/1999,no questions
10,Exopeptidase derived from Aspergillus oryzae carrying a gene encoding a leucine aminopeptidase from Aspergillus sojae,Rohm Enzyme Finland Oy,01/29/1999,rejected
11,Calcium casein peptone-calcium phosphate,Bonlac Foods Limited,01/29/1999,no questions
12,Mesquite wood alcoholic extract,Givaudan Roure Flavors,03/11/1999,withdrawn
13,Botanicals: Chrysanthemum; Licorice; Jellywort AND Honeysuckle; Lophatherum; Mulberry leaf; Frangipani; Selfheal; Sophora flower bud,Vitasoy International Holdings Ltd.,06/02/1999,rejected
14,Hydrogen peroxide,Basic Vegetable Products,05/26/1999,rejected
15,Tasteless smoke,Hawaii International Seafood Inc.,03/10/2000,no questions
16,Menhaden oil,BASF Corporation,06/08/1999,withdrawn
17,Arabinogalactan,"Larex, Inc.",04/11/2000,withdrawn
18,Mesquite ( Prosopis spp.) wood alcoholic extract,Givaudan Roure Flavors,05/12/1999,no questions
19,Ferrous bisglycinate chelate,"Albion Laboratories, Inc.",09/30/1999,no questions
20,Pullulanase derived from Bacillus subtilis carrying a gene encoding pullulanase from Bacillus naganoensis,Enzyme Bio-Systems Ltd.,09/30/1999,no questions
21,Pork collagen,"AMPC, Inc.",07/29/1999,no questions
22,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding a modified alpha-amylase derived from Bacillus lichenformis and Bacillus amyloliquefaciens,Novo Nordisk,12/29/1999,no questions
23,Protein preparation from animal blood,"Desanguination Products, LLC",08/02/1999,withdrawn
24,alpha-Amylase derived from Bacillus licheniformis carrying a gene encoding alpha-amylase from Bacillus stearothermophilus,Novo Nordisk,05/15/2000,no questions
25,"Extract of Garcinia kola seed (""bitter cola"")",Pharaoh Palmier,10/12/1999,rejected
26,Isolated wheat protein,Manildra Group,12/16/1999,no questions
27,Dextranase from Chaetomium gracile,"Sankyo Co., Ltd.",12/16/1999,no questions
28,Seaweed-derived calcium,Marigot Ltd./Celtic Sea Minerals,04/21/2000,no questions
29,Transglutaminase from Streptoverticillium mobaraense,Ajinomoto USA,12/29/1999,no questions
30,Crospovidone-cranberry juice extract,"ShanStar Biotech, Inc.",12/20/1999,rejected
31,Cetylpyridinium chloride,Safe Foods Corporation,01/10/2000,withdrawn
32,Pectin lyase derived from Trichoderma reesei carrying a gene encoding pectin lyase from Aspergillus niger,Rohm Enzyme GmbH,04/20/2000,no questions
33,Low erucic acid oil derived from Brassica juncea,Canola Council of Canada,01/27/2000,no questions
34,Aspartic proteinase derived from Aspergillus oryzae carrying a gene encoding aspartic proteinase from Rhizomucor miehei,Novo Nordisk,04/19/2000,no questions
